PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
79.6,77.41,146438.17,10895197.1225,141230.99,10130799.4417,10503713.0859,146358.57,141153.58,10888860.9625,10124807.1336,10499460.2985,10498681.9839,10497551.2499,10890052.6896,10125844.2903,146381.21,141176.07,10891952.6809,10127783.2353,10561592.9298,0.835944519161
79.37,75.35,146670.53,10926961.4603,141460.36,10160676.9842,10534526.5141,146591.16,141385.01,10920661.8634,10154999.3617,10530495.1276,10529536.2008,10528545.9846,10921896.4084,10155901.8003,146614.67,141405.85,10923841.1207,10157705.6441,10595193.1098,0.835944519161
80.06,77.03,146892.96,10957270.2812,141678.62,10189365.2864,10564012.7479,146812.9,141601.59,10950860.6776,10183431.6655,10559813.2389,10558957.9983,10557845.7261,10952112.5239,10184448.2326,146836.43,141623.92,10954074.6403,10186373.1964,10626714.0571,0.835944519161
79.89,79.93,147120.73,10988232.2079,141904.16,10219443.1752,10594523.719,147040.84,141824.23,10981849.7958,10213054.3703,10590051.3017,10589356.9849,10588138.1113,10983043.5127,10214176.6751,147063.43,141847.32,10984948.9179,10216212.3896,10658190.7233,0.835944519161
81.01,76.67,147353.53,11020796.1573,142123.77,10249600.8273,10625862.6303,147272.52,142047.1,11014233.5372,10243722.5384,10621520.0036,10620509.7561,10619651.5936,11015379.3712,10244495.0932,147293.86,142065.38,11017235.6484,10246191.4352,10690949.6403,0.835944519161
78.85,75.76,147537.54,11046828.229,142303.69,10273928.5503,10651040.4317,147458.69,142227.93,11040610.9065,10268188.9727,10646665.3566,10645914.3768,10645066.7557,11041479.4564,10268944.7224,147476.13,142246.24,11043057.0409,10270628.0478,10718767.6784,0.835944519161
76.11,72.31,147704.02,11069685.7806,142465.67,10295063.4421,10673024.5838,147627.91,142393.36,11063893.0485,10289834.706,10668987.2571,10668009.9074,10667521.0697,11064626.2842,10290246.0916,147643.88,142406.69,11066068.961,10291584.8017,10743541.2345,0.835944519161
77.77,73.99,147863.81,11091656.5949,142606.61,10313931.8413,10693409.8737,147786.04,142532.62,11085608.422,10308457.3212,10689244.3484,10688198.2096,10687655.6714,11086465.2068,10308921.2433,147803.62,142546.45,11088033.7588,10310312.6157,10765970.1652,0.835944519161
79.74,75.08,148037.58,11115663.4872,142748.28,10333216.6628,10715023.2347,147957.84,142673.2,11109305.0196,10327579.6564,10710715.4776,10709694.9141,10709036.3555,11110258.1611,10328157.2752,147976.42,142688.64,11111922.9416,10329659.7332,10789573.5179,0.835944519161
74.08,68.11,148186.56,11136410.1762,142871.63,10349004.3119,10733155.1588,148112.48,142803.52,11130922.3298,10344365.3398,10729503.4034,10728468.9229,10728109.57,11131563.2111,10344671.3259,148127.46,142815.97,11132917.3662,10345906.2763,10813357.0869,0.835944519161
72.29,66.5,148332.81,11155377.5179,142990.98,10363856.7182,10749994.3601,148260.52,142924.48,11150151.6738,10359434.4682,10746521.1509,10745272.3972,10745187.0751,11150728.0172,10359473.8199,148274.86,142932.56,11152019.3154,10360443.8218,10832997.9398,0.835944519161
69.74,67.34,148441.06,11169432.6272,143070.01,10373899.0961,10762003.8904,148371.32,143002.67,11164568.9596,10369364.4205,10758361.2102,10757339.0318,10757307.5988,11164854.6042,10369344.1807,148381.26,143009.63,11165856.5872,10370253.3517,10846809.1247,0.835944519161
69.26,67.79,148524.36,11180267.439,143127.71,10381286.6507,10771087.8352,148455.1,143059.92,11175470.4914,10376691.1666,10767284.9126,10766281.5199,10766392.6998,11175594.5452,10376525.8803,148462.44,143064.5,11176433.3526,10377291.1466,10857174.5215,0.835944519161
71.11,70.08,148602.64,11190807.7688,143197.65,10390564.1529,10780992.4249,148531.53,143127.57,11185751.1367,10385652.9465,10776819.029,10776002.1034,10776009.0361,11185796.1662,10385590.6355,148537.42,143133.58,11186554.1204,10386459.188,10867835.5687,0.835944519161
72.3,71.47,148662.34,11199006.7278,143255.91,10398466.7983,10789047.9535,148590.04,143184.44,11193779.4378,10393358.8374,10784568.9854,10784026.4631,10783880.6725,11193698.6892,10393445.9953,148593.94,143192.59,11194328.1678,10394457.3759,10876400.1263,0.835944519161
